seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566579527.89,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579527.91,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0142,0.6664,0.719,0.1966,0.0855,-0.7804,-0.5552,-0.2743,0.4402,0.6002,0.5841,0.3234,0.4025,0.2053,0.8745,0.1758,-0.0254,0.9199,0.3911,-0.0051,-0.0467,0.721,0.6591,-0.2085,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,83.4118032467,13.9828988701,161.887865068,105.858817891,31.5444438927,168.413778605,96.2663570962,-7.24200016925,113.977712607,40.2412909321,-39.1911013145,142.405419992,133.949232003,0.600843825045,-177.092095542,92.6055477563,-13.8345671697,-159.363234594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418458500304,0.0913404807978,-0.0220959411852,145.708469117,-59.8156885929,5.14908628269,0.07557,0.0796,-1.10979,46.2650837285,-46.6091144964,-18.652643344,
1566579527.93,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0145,0.6648,0.7202,0.1975,0.0748,-0.7824,-0.5531,-0.2763,0.4426,0.5984,0.5828,0.3258,0.4055,0.2011,0.8731,0.1811,-0.0306,0.9206,0.3889,-0.0123,-0.0557,0.7161,0.6633,-0.2096,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,83.1614277726,13.9894470374,161.754713235,105.946054245,31.003795632,167.289214817,96.2616559017,-7.23879651194,113.513520249,40.1575248082,-39.439514893,141.634782629,134.199717055,0.0661256567586,-176.220403782,91.8831853348,-13.0818403608,-158.442424531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418458500304,0.0913404807978,-0.0220959411852,145.708469117,-59.8156885929,5.14908628269,0.07557,0.0796,-1.10979,46.2650837285,-46.6091144964,-18.652643344,
1566579527.95,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0145,0.6648,0.7202,0.1975,0.0748,-0.7824,-0.5531,-0.2763,0.4426,0.5984,0.5828,0.3258,0.4055,0.2011,0.8731,0.1811,-0.0306,0.9206,0.3889,-0.0123,-0.0557,0.7161,0.6633,-0.2096,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,83.1614277726,13.9894470374,161.754713235,105.946054245,31.003795632,167.289214817,96.2616559017,-7.23879651194,113.513520249,40.1575248082,-39.439514893,141.634782629,134.199717055,0.0661256567586,-176.220403782,91.8831853348,-13.0818403608,-158.442424531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039331077102,0.0923594873528,-0.0214616386188,150.141748215,-58.4102939137,5.66976139461,0.07562,0.0796,-1.10959,46.5450521263,-46.5867020175,-18.7246165588,
1566579527.97,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0165,0.6667,0.7179,0.1992,0.0591,-0.7863,-0.5489,-0.277,0.4467,0.5955,0.5804,0.3298,0.4075,0.1962,0.8747,0.1737,-0.0346,0.921,0.3876,-0.0175,-0.0649,0.7127,0.6654,-0.2119,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,83.4714617653,14.0025809816,161.488084949,106.357005159,30.0397007511,165.879259207,96.2818904071,-7.22485197407,112.725835281,39.3753193535,-40.1533127786,142.635322886,134.340711755,-0.310154923558,-175.566497529,91.4376924456,-12.4574123826,-157.442725607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390621154144,0.0922203995638,-0.021902644439,149.712236898,-58.365382313,6.08583625559,0.07562,0.0796,-1.10959,46.5450521263,-46.5867020175,-18.7246165588,
1566579527.99,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0197,0.671,0.7119,0.2061,0.0324,-0.7966,-0.537,-0.2753,0.4492,0.5947,0.5772,0.3334,0.4096,0.1961,0.8759,0.1629,-0.0367,0.9201,0.3893,-0.0179,-0.0743,0.7083,0.6692,-0.2118,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,84.1539772856,14.3923303583,160.714391576,107.955080396,28.2623504808,163.91012092,96.4304290884,-7.00981134028,112.135384464,39.0717590033,-40.8189583115,143.887085207,134.122746212,-0.250143158028,-175.325848172,90.8494046101,-11.5728295837,-156.619602426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390621154144,0.0922203995638,-0.021902644439,149.712236898,-58.365382313,6.08583625559,0.07562,0.0796,-1.10959,46.5450521263,-46.5867020175,-18.7246165588,
1566579528.01,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0183,0.6723,0.7095,0.2098,0.0153,-0.8049,-0.5274,-0.2711,0.4511,0.5927,0.5744,0.3394,0.413,0.2041,0.8709,0.1707,-0.038,0.9206,0.3881,-0.0191,-0.081,0.7066,0.6702,-0.212,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,84.3533070528,14.8446399281,160.516714436,109.423667159,26.9151867447,162.953500944,96.3389849973,-6.65606299357,111.409879587,40.791172727,-40.5260272021,142.189195705,134.268258666,-0.324965636682,-175.135595742,90.6848822924,-11.0131503795,-156.037987549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348385542976,0.0941587311622,-0.019678489631,158.902811906,-55.8479953662,6.83388077642,0.07565,0.07992,-1.10959,47.0246791527,-46.6679130267,-18.7707137466,
1566579528.03,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0071,0.6736,0.7083,0.2106,-0.0169,-0.8205,-0.5076,-0.262,0.4502,0.5921,0.5742,0.3417,0.4122,0.1935,0.8723,0.1779,-0.0398,0.9205,0.388,-0.0223,-0.0923,0.7034,0.6708,-0.2155,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,84.4949695808,15.8851157035,161.326142091,112.413261311,24.3849086352,161.183076417,96.1717028312,-6.45363906851,111.299895512,39.606829408,-40.5670480817,141.784794134,134.261728629,-0.582711185617,-174.802667547,90.4006981037,-10.334164996,-154.786212271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348385542976,0.0941587311622,-0.019678489631,158.902811906,-55.8479953662,6.83388077642,0.07565,0.07992,-1.10959,47.0246791527,-46.6679130267,-18.7707137466,
1566579528.05,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0071,0.6736,0.7083,0.2106,-0.0169,-0.8205,-0.5076,-0.262,0.4502,0.5921,0.5742,0.3417,0.4122,0.1935,0.8723,0.1779,-0.0398,0.9205,0.388,-0.0223,-0.0923,0.7034,0.6708,-0.2155,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,84.4949695808,15.8851157035,161.326142091,112.413261311,24.3849086352,161.183076417,96.1717028312,-6.45363906851,111.299895512,39.606829408,-40.5670480817,141.784794134,134.261728629,-0.582711185617,-174.802667547,90.4006981037,-10.334164996,-154.786212271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313820080078,0.0949247397696,-0.017660544209,167.475956092,-55.0196573046,8.04319261865,0.07568,0.08001,-1.10932,47.1376898441,-46.696584789,-18.6258636555,
1566579528.07,-0.0969,-0.8685,0.0032,0.486,0.1849,0.9527,0.0089,-0.2407,0.0026,0.6747,0.707,0.2114,-0.035,-0.828,-0.4973,-0.2567,0.4495,0.5919,0.575,0.3419,0.3948,0.2048,0.8789,0.1719,-0.0406,0.9201,0.3887,-0.024,-0.0999,0.7005,0.6719,-0.2183,-169.291856753,-57.5282482192,161.377385979,-175.339254597,-27.5158812417,156.891410033,84.6579037456,16.3588690084,161.623380169,113.940185728,22.9719127743,160.107668399,96.0588790775,-6.44175663915,111.367917085,39.3677272097,-38.5852515836,143.591544332,134.162555141,-0.722156219082,-174.64152003,90.0916640254,-9.88258222583,-153.900416228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031349008764,0.0946075599128,-0.0180495481344,167.085538521,-55.0413028347,8.27445629891,0.07568,0.08001,-1.10932,47.1376898441,-46.696584789,-18.6258636555,
1566579528.09,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0047,0.678,0.7049,0.208,-0.0679,-0.838,-0.4838,-0.2429,0.4497,0.5888,0.5766,0.3442,0.3831,0.215,0.8831,0.1644,-0.0427,0.9195,0.3898,-0.0256,-0.1124,0.6943,0.6754,-0.221,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,85.179625571,16.781111418,162.562304953,116.12196711,19.9639366172,158.212617349,95.6598937282,-6.50444817503,111.1507619,39.4796682989,-37.3015393387,145.097214702,134.014281593,-0.790180746517,-174.347085246,89.4012748616,-8.92250240228,-152.592526768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031349008764,0.0946075599128,-0.0180495481344,167.085538521,-55.0413028347,8.27445629891,0.07568,0.08001,-1.10932,47.1376898441,-46.696584789,-18.6258636555,
1566579528.11,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0145,0.6767,0.7068,0.2053,-0.0921,-0.8426,-0.4752,-0.2357,0.4509,0.5848,0.5782,0.3467,0.3837,0.227,0.8824,0.1495,-0.0435,0.9179,0.3935,-0.0265,-0.1184,0.689,0.6796,-0.2218,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,84.9753641591,17.3612726625,163.527995556,117.372390471,18.0425666107,156.490755924,95.2452332852,-6.65793481455,110.809050919,40.5542463023,-37.5491990246,146.451344831,133.549063495,-0.825920291542,-174.219046734,88.7076408586,-8.32230317947,-151.987203969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02816134271,0.0950936185492,-0.0152083327116,177.338907924,-55.1377856144,7.30124883037,0.07584,0.08025,-1.1093,47.3467414916,-46.681518985,-18.6803343785,
1566579528.13,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0204,0.6791,0.7053,0.2018,-0.1159,-0.8453,-0.4696,-0.2262,0.4511,0.5793,0.5828,0.348,0.3795,0.2305,0.885,0.1397,-0.0456,0.9158,0.3978,-0.0291,-0.1307,0.6804,0.6854,-0.2236,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,85.3899953103,17.6338153667,164.354518816,118.329788268,15.8818599406,154.86569431,94.5269574649,-7.04385618701,110.693728236,40.3241576049,-37.4002384579,147.89022376,132.990035246,-0.97536864649,-173.874693167,87.7037445001,-7.18865307624,-150.770816848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02816134271,0.0950936185492,-0.0152083327116,177.338907924,-55.1377856144,7.30124883037,0.07584,0.08025,-1.1093,47.3467414916,-46.681518985,-18.6803343785,
1566579528.15,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0204,0.6791,0.7053,0.2018,-0.1159,-0.8453,-0.4696,-0.2262,0.4511,0.5793,0.5828,0.348,0.3795,0.2305,0.885,0.1397,-0.0456,0.9158,0.3978,-0.0291,-0.1307,0.6804,0.6854,-0.2236,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,85.3899953103,17.6338153667,164.354518816,118.329788268,15.8818599406,154.86569431,94.5269574649,-7.04385618701,110.693728236,40.3241576049,-37.4002384579,147.89022376,132.990035246,-0.97536864649,-173.874693167,87.7037445001,-7.18865307624,-150.770816848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255893337812,0.0949593446972,-0.011908913216,-174.082013654,-54.5376301647,6.18090428112,0.0758,0.0803,-1.109,47.8438105952,-46.5448656624,-18.5870633181,
1566579528.17,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0258,0.683,0.7024,0.1982,-0.1358,-0.8473,-0.4632,-0.2213,0.4512,0.5759,0.5844,0.3507,0.3653,0.2393,0.8912,0.1221,-0.0471,0.914,0.4019,-0.0277,-0.1401,0.6749,0.6892,-0.223,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,86.0530864009,17.8812583451,165.191911042,119.228510153,14.4324290221,153.296772479,94.0881431616,-7.09162419584,110.448754383,39.8258056875,-36.3531080813,150.831881869,132.488530495,-0.732135650392,-173.777879194,87.1393631907,-6.19475973934,-150.034107025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253428127516,0.0946579591518,-0.012921564508,-175.077912103,-54.6109041564,7.05014455602,0.0758,0.0803,-1.109,47.8438105952,-46.5448656624,-18.5870633181,
1566579528.19,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0317,0.6837,0.7015,0.1983,-0.1502,-0.8481,-0.4588,-0.2181,0.4492,0.5743,0.5872,0.3513,0.3609,0.2374,0.8942,0.1169,-0.049,0.9127,0.4045,-0.0271,-0.1489,0.6729,0.6888,-0.2246,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,86.1941220428,18.4012508032,165.667109702,119.828509927,13.4231669264,152.113533936,93.6631681613,-7.1264778263,110.622980176,39.0822963852,-36.1575771327,151.88582536,132.16359637,-0.563199795146,-173.60404761,87.1242920122,-5.57542418946,-149.183148501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253428127516,0.0946579591518,-0.012921564508,-175.077912103,-54.6109041564,7.05014455602,0.0758,0.0803,-1.109,47.8438105952,-46.5448656624,-18.5870633181,
1566579528.21,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2407,-0.0343,0.6854,0.7001,0.1969,-0.1535,-0.8491,-0.4573,-0.2152,0.4473,0.5755,0.5888,0.3491,0.358,0.2336,0.8974,0.1085,-0.052,0.913,0.4033,-0.0299,-0.1532,0.6719,0.6881,-0.2267,-169.284515548,-57.5433018653,161.370044774,-175.339254597,-27.5158812417,156.891410033,86.4946593658,18.5409364457,166.040618645,120.132037961,13.0069285567,151.994387017,93.6250699348,-7.1777036256,111.027046093,38.0745286307,-36.29527147,153.306891191,132.291635078,-0.72518366726,-173.159803454,87.1233277353,-5.38369031307,-148.65056032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234501854932,0.0946330818486,-0.009679265552,-168.176411694,-55.0578237034,4.88913548568,0.07562,0.0802,-1.1087,48.6854819308,-46.6367089217,-18.8164435436,
1566579528.23,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2408,-0.0383,0.6878,0.6979,0.1956,-0.1557,-0.8501,-0.4555,-0.2131,0.4453,0.5766,0.5894,0.3488,0.3571,0.2362,0.8977,0.1035,-0.0539,0.913,0.4031,-0.0286,-0.1549,0.6721,0.6879,-0.2255,-169.284515548,-57.5433018653,161.370044774,-175.336620146,-27.5267554372,156.890294709,86.9238145491,18.8185292491,166.537508486,120.436787965,12.7391693233,151.931455339,93.5653710592,-7.04832080611,111.26700095,38.1810774805,-36.3211081297,153.892550786,132.325333136,-0.502566867926,-173.020748259,87.217049094,-5.16512982925,-148.621213515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234501854932,0.0946330818486,-0.009679265552,-168.176411694,-55.0578237034,4.88913548568,0.07562,0.0802,-1.1087,48.6854819308,-46.6367089217,-18.8164435436,
1566579528.25,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2408,-0.0383,0.6878,0.6979,0.1956,-0.1557,-0.8501,-0.4555,-0.2131,0.4453,0.5766,0.5894,0.3488,0.3571,0.2362,0.8977,0.1035,-0.0539,0.913,0.4031,-0.0286,-0.1549,0.6721,0.6879,-0.2255,-169.284515548,-57.5433018653,161.370044774,-175.336620146,-27.5267554372,156.890294709,86.9238145491,18.8185292491,166.537508486,120.436787965,12.7391693233,151.931455339,93.5653710592,-7.04832080611,111.26700095,38.1810774805,-36.3211081297,153.892550786,132.325333136,-0.502566867926,-173.020748259,87.217049094,-5.16512982925,-148.621213515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217009130124,0.0944780632084,-0.0105826504236,-167.841440069,-54.915140307,6.3735209754,0.07546,0.08015,-1.10874,48.6886533674,-46.8317543174,-18.7153557099,
1566579528.27,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2408,-0.0414,0.6882,0.6968,0.1972,-0.1582,-0.8503,-0.4539,-0.2139,0.444,0.5767,0.588,0.3526,0.3647,0.2265,0.8973,0.1019,-0.0528,0.9133,0.4028,-0.0244,-0.1513,0.6727,0.689,-0.2229,-169.284515548,-57.5433018653,161.370044774,-175.336620146,-27.5267554372,156.890294709,87.0195415884,19.2204079459,166.658684464,120.586473571,12.7198961718,151.643581171,93.4434005474,-6.63127981777,111.059869199,37.2965553688,-37.4759042891,153.98076888,132.394607079,-0.116532400875,-173.331157473,87.1797284601,-5.24498723762,-149.139223538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02212226859,0.094399477655,-0.01086167326,-167.962199572,-54.827706816,6.27987878093,0.07546,0.08015,-1.10874,48.6886533674,-46.8317543174,-18.7153557099,
1566579528.29,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9527,0.0089,-0.2408,-0.0446,0.6871,0.6971,0.1997,-0.1615,-0.849,-0.4551,-0.214,0.4439,0.5757,0.5877,0.3548,0.3792,0.2145,0.8933,0.1102,-0.0502,0.9126,0.4052,-0.0195,-0.1412,0.673,0.6919,-0.2194,-169.284515548,-57.5433018653,161.370044774,-175.336620146,-27.5267554372,156.890294709,86.8503762085,19.6719690763,166.667113651,120.402132551,12.4987907999,151.282377522,93.301386807,-6.50393368437,110.871437525,36.9618168226,-39.068266197,152.409689573,132.132685596,0.291697298192,-173.832399218,86.8883410348,-5.7361176242,-150.245808159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02212226859,0.094399477655,-0.01086167326,-167.962199572,-54.827706816,6.27987878093,0.07546,0.08015,-1.10874,48.6886533674,-46.8317543174,-18.7153557099,
1566579528.31,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9526,0.0089,-0.2409,-0.046,0.6853,0.6981,0.2019,-0.1619,-0.8471,-0.4581,-0.2147,0.4439,0.5731,0.5877,0.359,0.4026,0.2033,0.8837,0.124,-0.0465,0.9119,0.4074,-0.0137,-0.1329,0.674,0.6936,-0.2163,-169.284515548,-57.5433018653,161.370044774,-175.332868882,-27.5402084514,156.886543446,86.5626782122,19.9376475269,166.536206109,119.980276816,12.4429624504,151.154256004,92.9546305839,-6.33263196581,110.494990649,37.7558810974,-41.4008082474,149.29972366,131.889250664,0.739342740338,-174.491791143,86.7746314533,-6.15591663966,-151.179070664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227789257716,0.094514728029,-0.0109906289512,-168.626728207,-55.2599652431,6.51734830892,0.07534,0.08039,-1.10891,48.8511880314,-47.0097710556,-18.8319562461,
1566579528.33,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9526,0.0089,-0.2409,-0.0455,0.6798,0.7019,0.2075,-0.1564,-0.844,-0.4649,-0.2165,0.4428,0.5718,0.5886,0.361,0.4041,0.1976,0.8828,0.1352,-0.0421,0.9108,0.4106,-0.0062,-0.1207,0.6782,0.6929,-0.2125,-169.284515548,-57.5433018653,161.370044774,-175.332868882,-27.5402084514,156.886543446,85.6277144712,20.2439641884,165.844640311,119.06471695,12.7134396991,151.504198672,92.6675058483,-6.22576864331,110.434820058,37.5836716373,-41.3056697162,147.968365979,131.521765154,1.33393958946,-175.307603184,87.0692344983,-6.94949001156,-152.503917016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227789257716,0.094514728029,-0.0109906289512,-168.626728207,-55.2599652431,6.51734830892,0.07534,0.08039,-1.10891,48.8511880314,-47.0097710556,-18.8319562461,
1566579528.35,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9526,0.0089,-0.2409,-0.0455,0.6798,0.7019,0.2075,-0.1564,-0.844,-0.4649,-0.2165,0.4428,0.5718,0.5886,0.361,0.4041,0.1976,0.8828,0.1352,-0.0421,0.9108,0.4106,-0.0062,-0.1207,0.6782,0.6929,-0.2125,-169.284515548,-57.5433018653,161.370044774,-175.332868882,-27.5402084514,156.886543446,85.6277144712,20.2439641884,165.844640311,119.06471695,12.7134396991,151.504198672,92.6675058483,-6.22576864331,110.434820058,37.5836716373,-41.3056697162,147.968365979,131.521765154,1.33393958946,-175.307603184,87.0692344983,-6.94949001156,-152.503917016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025753127151,0.0945280127944,-0.0116092466258,-171.992686934,-55.4198363609,7.37884025827,0.07536,0.08043,-1.10865,48.7629756605,-46.8905902251,-18.6068745667,
1566579528.37,-0.0969,-0.8684,0.0032,0.4862,0.1849,0.9526,0.0089,-0.2409,-0.0419,0.6744,0.7061,0.2111,-0.1428,-0.8413,-0.4745,-0.2158,0.4402,0.5747,0.5905,0.3566,0.4074,0.1851,0.8811,0.1525,-0.0396,0.9104,0.4116,-0.0032,-0.1098,0.6827,0.6912,-0.2094,-169.280551044,-57.5530875973,161.366662681,-175.332868882,-27.5402084514,156.886543446,84.7084975008,20.1208947372,165.085428497,117.957062226,13.156475454,152.799002426,92.7799955344,-6.31589591711,111.11552139,36.9263078928,-41.4202622857,145.972324646,131.401148834,1.53438961337,-175.711527176,87.4851447267,-7.71016350696,-153.671381076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256127903854,0.0943442328372,-0.011731347925,-172.174640445,-55.5984616692,7.51707746852,0.07536,0.08043,-1.10865,48.7629756605,-46.8905902251,-18.6068745667,
1566579528.39,-0.0969,-0.8684,0.0032,0.4861,0.1849,0.9526,0.0089,-0.2409,-0.0292,0.6718,0.7075,0.2172,-0.1088,-0.8373,-0.4886,-0.2197,0.4382,0.5786,0.5903,0.3527,0.4086,0.1776,0.88,0.1646,-0.0328,0.9109,0.4112,0.0051,-0.0881,0.6934,0.6868,-0.1989,-169.284515548,-57.5433018653,161.370044774,-175.332868882,-27.5402084514,156.886543446,84.1821918524,19.4619784741,163.478184217,116.188165789,15.1658912181,155.716802323,93.1120974622,-6.27109559163,111.663415762,36.5547593991,-41.3515576869,144.601254672,131.466938844,2.07849242535,-176.812625674,88.6837184763,-8.90798878646,-156.403992149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256127903854,0.0943442328372,-0.011731347925,-172.174640445,-55.5984616692,7.51707746852,0.07536,0.08043,-1.10865,48.7629756605,-46.8905902251,-18.6068745667,
1566579528.41,-0.0969,-0.8684,0.0032,0.4862,0.1849,0.9526,0.0089,-0.2409,-0.0201,0.6714,0.7076,0.2192,-0.0831,-0.8342,-0.496,-0.2257,0.436,0.5858,0.5866,0.3499,0.4052,0.175,0.8806,0.1721,-0.0277,0.911,0.4111,0.0125,-0.0746,0.7009,0.683,-0.1914,-169.280551044,-57.5530875973,161.366662681,-175.332868882,-27.5402084514,156.886543446,84.0828362994,18.8329715676,162.586638584,115.133963946,17.109315319,157.702263621,93.8468286966,-5.83096622427,112.133402229,36.2632289922,-40.8042843386,143.995220967,131.476837226,2.61112045542,-177.693806668,89.6340861401,-9.57912024614,-158.209035558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288934716558,0.0944259100544,-0.01414542756,-179.527889607,-56.1479176644,9.36998511225,0.07525,0.08045,-1.10861,48.2742916421,-46.7674175149,-18.4392778464,
1566579528.43,-0.0969,-0.8684,0.0032,0.4862,0.1849,0.9526,0.0089,-0.2409,-0.0015,0.6665,0.7111,0.2236,-0.0411,-0.8269,-0.5092,-0.2347,0.4354,0.5898,0.5848,0.3469,0.4075,0.175,0.8789,0.1755,-0.0225,0.9126,0.4077,0.0158,-0.0604,0.7086,0.6781,-0.1854,-169.280551044,-57.5530875973,161.366662681,-175.332868882,-27.5402084514,156.886543446,83.290319753,17.471221266,160.65074466,113.305806703,20.2643747906,160.894837035,94.3301204551,-5.7428460925,112.454368877,36.6096364495,-40.9130838362,143.345823923,131.893199182,2.70498971515,-178.382877277,90.6740335466,-10.4188402517,-159.958294776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288934716558,0.0944259100544,-0.01414542756,-179.527889607,-56.1479176644,9.36998511225,0.07525,0.08045,-1.10861,48.2742916421,-46.7674175149,-18.4392778464,
