seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566578617.29,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578617.31,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0066314918344,0.0852171341026,0.0633778019818,9.36813185926,16.6731347714,6.05793486284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02663,0.04114,-1.05732,0.944182259623,23.8915785062,-2.23655610585,
1566578617.33,-0.1106,-0.887,-0.0329,0.4469,0.2147,0.9511,0.0137,-0.2213,0.3192,0.7135,0.5714,-0.2499,-0.098,-0.7714,-0.5115,0.3655,0.3806,0.7807,0.3201,-0.3783,0.4308,0.1593,0.8691,0.1831,0.147,0.7902,0.3153,-0.5044,0.2878,0.6193,0.4758,-0.5541,-176.127787908,-53.152589411,163.847340407,-175.625434606,-25.2712551979,153.577544317,108.702303377,-46.1741265172,165.794990011,106.272523644,-41.622831371,-162.664661032,157.394238798,-56.5535553922,140.293719018,36.9480396628,-43.677731812,140.954126337,129.855722063,-62.8704700358,-169.158884287,76.0725739801,-73.8210255037,-142.181388348,-0.0066314918344,0.0852171341026,0.0633778019818,9.36813185926,16.6731347714,6.05793486284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02663,0.04114,-1.05732,0.944182259623,23.8915785062,-2.23655610585,
1566578617.35,-0.1106,-0.887,-0.0329,0.447,0.2147,0.9511,0.0137,-0.2213,0.3178,0.7135,0.5714,-0.2518,-0.0972,-0.7715,-0.5111,0.3661,0.3811,0.7804,0.32,-0.3784,0.429,0.1612,0.8704,0.1793,0.147,0.79,0.315,-0.5048,0.2877,0.619,0.4753,-0.5549,-176.125101643,-53.1627065312,163.845567684,-175.625434606,-25.2712551979,153.577544317,108.570965858,-46.2624893217,166.128698644,106.27118824,-41.6292788756,-162.540000204,157.467366071,-56.5781259769,140.182875379,36.8488728288,-43.563228055,141.555026596,129.862346496,-62.9248546411,-169.13635256,75.8418325412,-73.8811471145,-141.887165818,-0.0071793254424,0.0854657932702,0.0636232312704,9.22342173949,16.6080931921,5.95781149267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02643,0.0412,-1.05674,0.932628891636,23.890339845,-2.18039978301,
1566578617.37,-0.1106,-0.887,-0.0329,0.447,0.2147,0.9511,0.0137,-0.2213,0.3165,0.7146,0.5699,-0.2533,-0.0971,-0.7717,-0.5106,0.3664,0.3821,0.7795,0.3204,-0.3789,0.4279,0.1638,0.8715,0.174,0.1477,0.7894,0.3151,-0.5055,0.288,0.6185,0.4754,-0.5553,-176.125101643,-53.1627065312,163.845567684,-175.625434606,-25.2712551979,153.577544317,108.735891418,-46.2967257619,166.297385445,106.325783167,-41.6608245715,-162.526660198,157.521540039,-56.6874196868,140.009870451,36.8394078058,-43.5527592096,142.261092505,129.807520621,-63.0439834477,-169.141514716,75.5978798694,-73.9210789957,-141.675120415,-0.0071793254424,0.0854657932702,0.0636232312704,9.22342173949,16.6080931921,5.95781149267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02643,0.0412,-1.05674,0.932628891636,23.890339845,-2.18039978301,
1566578617.39,-0.1106,-0.887,-0.0329,0.447,0.2147,0.9511,0.0137,-0.2213,0.3165,0.7146,0.5699,-0.2533,-0.0971,-0.7717,-0.5106,0.3664,0.3821,0.7795,0.3204,-0.3789,0.4279,0.1638,0.8715,0.174,0.1477,0.7894,0.3151,-0.5055,0.288,0.6185,0.4754,-0.5553,-176.125101643,-53.1627065312,163.845567684,-175.625434606,-25.2712551979,153.577544317,108.735891418,-46.2967257619,166.297385445,106.325783167,-41.6608245715,-162.526660198,157.521540039,-56.6874196868,140.009870451,36.8394078058,-43.5527592096,142.261092505,129.807520621,-63.0439834477,-169.141514716,75.5978798694,-73.9210789957,-141.675120415,-0.0067596838548,0.0855891206576,0.0634516213852,9.30934860811,16.594106879,5.88749414005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629,0.04131,-1.05634,0.815198785218,23.9935138087,-2.22831022205,
1566578617.41,-0.1106,-0.887,-0.0329,0.447,0.2147,0.9511,0.0137,-0.2213,0.3171,0.7142,0.57,-0.2536,-0.098,-0.7716,-0.5103,0.3668,0.3834,0.7789,0.3201,-0.379,0.4282,0.1626,0.8719,0.1726,0.1481,0.789,0.3154,-0.5059,0.2882,0.618,0.4752,-0.5559,-176.125101643,-53.1627065312,163.845567684,-175.625434606,-25.2712551979,153.577544317,108.721450582,-46.3730146039,166.260872364,106.356447574,-41.7681978035,-162.591768608,157.713278922,-56.7240745477,139.723884108,36.629090828,-43.6861532327,142.489520823,129.724270435,-63.1067305047,-169.113184774,75.3341924404,-73.9804771849,-141.406971362,-0.006646675872,0.085366217997,0.0632801484578,9.39997823274,16.4819921209,5.95865536728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629,0.04131,-1.05634,0.815198785218,23.9935138087,-2.22831022205,
1566578617.43,-0.1106,-0.8869,-0.0329,0.4472,0.2147,0.9511,0.0137,-0.2213,0.3175,0.7142,0.5697,-0.2537,-0.0981,-0.7716,-0.5098,0.3673,0.3842,0.7786,0.3196,-0.3792,0.4298,0.1607,0.8716,0.1721,0.1478,0.7889,0.315,-0.5063,0.2875,0.6176,0.475,-0.5568,-176.117950558,-53.1879649904,163.839330005,-175.625434606,-25.2712551979,153.577544317,108.782889662,-46.4091873828,166.198896811,106.388875275,-41.834137608,-162.571965053,157.893146517,-56.7480928341,139.517941367,36.4881712718,-43.948643377,142.508055591,129.726571408,-63.1455448471,-169.052153528,74.971788175,-73.9740792827,-140.960512953,-0.006646675872,0.085366217997,0.0632801484578,9.39997823274,16.4819921209,5.95865536728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629,0.04131,-1.05634,0.815198785218,23.9935138087,-2.22831022205,
1566578617.45,-0.1106,-0.8869,-0.0329,0.4472,0.2147,0.9511,0.0137,-0.2213,0.3176,0.7151,0.5682,-0.2543,-0.0979,-0.7713,-0.5097,0.3684,0.3844,0.7787,0.3191,-0.3793,0.4313,0.1597,0.8712,0.1712,0.1477,0.7887,0.3151,-0.5066,0.2864,0.6171,0.4752,-0.5579,-176.117950558,-53.1879649904,163.839330005,-175.625434606,-25.2712551979,153.577544317,109.041172009,-46.4519019634,166.119122213,106.311017924,-41.9200208221,-162.437203129,158.006210862,-56.7397191176,139.435343544,36.4452242212,-44.1819673141,142.543053178,129.653437463,-63.1731866371,-168.976216358,74.4591974112,-73.9138567224,-140.359408083,-0.0066829821168,0.085647116452,0.0636759650632,9.22271360834,16.7051812984,5.69151729362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02615,0.04143,-1.05577,0.823181053434,24.0892847457,-2.2382155175,
1566578617.47,-0.1106,-0.8869,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.3174,0.7149,0.5684,-0.255,-0.0978,-0.7708,-0.51,0.3688,0.3853,0.7783,0.3191,-0.3792,0.4338,0.1604,0.8699,0.1711,0.148,0.7883,0.3157,-0.5068,0.286,0.6165,0.4758,-0.5581,-176.115260493,-53.1980798651,163.837553211,-175.625434606,-25.2712551979,153.577544317,108.970435365,-46.5080697751,166.219282996,106.209248122,-41.9455804691,-162.355265804,158.095358537,-56.7522838564,139.259191006,36.7699241347,-44.4188272772,142.289597111,129.516680305,-63.2039110449,-168.915665886,74.1368513366,-73.8536967156,-140.068606601,-0.0068486913432,0.0856378195232,0.0636502377028,8.67170272462,16.8400694784,5.35069317029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592,0.04142,-1.05515,0.781088941905,24.1343809085,-2.2118525088,
1566578617.49,-0.1105,-0.8869,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.3164,0.7148,0.5684,-0.2562,-0.0975,-0.7705,-0.5099,0.3698,0.3859,0.7785,0.3187,-0.3784,0.4349,0.1605,0.8689,0.1729,0.1479,0.7885,0.3155,-0.5066,0.2853,0.616,0.4763,-0.5587,-176.123654437,-53.1991438407,163.854437787,-175.625434606,-25.2712551979,153.577544317,108.870691132,-46.5619050147,166.448145903,106.132858256,-42.0162589397,-162.218354733,158.191150765,-56.653436387,139.122558846,36.9866650451,-44.4609108299,141.923526325,129.579219517,-63.1789473688,-168.954675271,73.7424608936,-73.7869510075,-139.656027574,-0.0068486913432,0.0856378195232,0.0636502377028,8.67170272462,16.8400694784,5.35069317029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592,0.04142,-1.05515,0.781088941905,24.1343809085,-2.2118525088,
1566578617.51,-0.1105,-0.8869,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.3164,0.7148,0.5684,-0.2562,-0.0975,-0.7705,-0.5099,0.3698,0.3859,0.7785,0.3187,-0.3784,0.4349,0.1605,0.8689,0.1729,0.1479,0.7885,0.3155,-0.5066,0.2853,0.616,0.4763,-0.5587,-176.123654437,-53.1991438407,163.854437787,-175.625434606,-25.2712551979,153.577544317,108.870691132,-46.5619050147,166.448145903,106.132858256,-42.0162589397,-162.218354733,158.191150765,-56.653436387,139.122558846,36.9866650451,-44.4609108299,141.923526325,129.579219517,-63.1789473688,-168.954675271,73.7424608936,-73.7869510075,-139.656027574,-0.006401314517,0.0855942687158,0.0632512645024,8.72225051515,16.7898232052,5.34189546865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592,0.04142,-1.05515,0.781088941905,24.1343809085,-2.2118525088,
1566578617.53,-0.1105,-0.8869,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.314,0.7172,0.5659,-0.258,-0.097,-0.7703,-0.5091,0.3712,0.3869,0.7801,0.3165,-0.376,0.4343,0.1604,0.869,0.1741,0.148,0.7878,0.3156,-0.5076,0.2842,0.6154,0.4763,-0.5599,-176.123654437,-53.1991438407,163.854437787,-175.625434606,-25.2712551979,153.577544317,109.193276865,-46.520533601,166.68833816,106.115004042,-42.1294796735,-162.048749953,158.565188845,-56.2750754494,138.800068306,36.9758871443,-44.3540746336,141.819596214,129.423130784,-63.3006175597,-168.805852563,73.2089945288,-73.7420057793,-139.020288906,-0.006401314517,0.0855942687158,0.0632512645024,8.72225051515,16.7898232052,5.34189546865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592,0.04142,-1.05515,0.781088941905,24.1343809085,-2.2118525088,
1566578617.55,-0.1105,-0.8869,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.3124,0.7191,0.564,-0.259,-0.0957,-0.77,-0.5078,0.3742,0.3877,0.7828,0.3133,-0.3723,0.4312,0.1629,0.8708,0.1704,0.1473,0.7873,0.3151,-0.5089,0.2824,0.6149,0.4754,-0.562,-176.123654437,-53.1991438407,163.854437787,-175.625434606,-25.2712551979,153.577544317,109.467433445,-46.4664527445,166.810431187,106.035089786,-42.3376182709,-161.653251553,159.020439085,-55.6827409187,138.474622404,36.8389725076,-44.0751810955,142.500945168,129.288273928,-63.4207166323,-168.554473987,72.5506588449,-73.7276467483,-138.10522231,-0.00656645628,0.08593713239,0.06353423025,6.83578186951,17.3604006602,4.16304163983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02575,0.04135,-1.05445,0.758979273515,24.1916142164,-2.1460874785,
1566578617.57,-0.1105,-0.8868,-0.033,0.4474,0.2147,0.9511,0.0137,-0.2213,0.3071,0.7241,0.559,-0.2621,-0.094,-0.7695,-0.5068,0.3767,0.388,0.7848,0.3113,-0.3695,0.4282,0.1666,0.8722,0.1673,0.1468,0.787,0.315,-0.5097,0.2811,0.6146,0.4747,-0.5636,-176.136080991,-53.2158975041,163.858373709,-175.625434606,-25.2712551979,153.577544317,110.108867838,-46.3068210314,167.310669459,105.915818068,-42.4706059713,-161.239891335,159.255417872,-55.2476873402,138.327800125,36.913312933,-43.7349446289,143.025002906,129.157953367,-63.4836480985,-168.363121619,72.0784846268,-73.7208640928,-137.437773999,-0.0061008245094,0.0870771009338,0.0622485969868,2.24847402773,17.8162636414,1.77652650844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02558,0.04123,-1.05398,0.560073878848,24.1757950777,-2.03641311277,
1566578617.59,-0.1105,-0.8868,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.3029,0.7287,0.5541,-0.2644,-0.0902,-0.7689,-0.5048,0.3816,0.3884,0.7882,0.3078,-0.3647,0.4237,0.1697,0.8739,0.1667,0.1459,0.7869,0.3138,-0.5108,0.2792,0.6143,0.4735,-0.566,-176.121879048,-53.2041728074,163.851749749,-175.625434606,-25.2712551979,153.577544317,110.792608923,-46.1566721414,167.622000678,105.703678557,-42.6903809238,-160.396655885,159.649138336,-54.5009851847,138.097950362,36.9004133133,-43.1644708267,143.364517378,129.189382006,-63.5812778924,-168.201961555,71.4334546905,-73.7213120595,-136.486336134,-0.0061008245094,0.0870771009338,0.0622485969868,2.24847402773,17.8162636414,1.77652650844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02558,0.04123,-1.05398,0.560073878848,24.1757950777,-2.03641311277,
1566578617.61,-0.1105,-0.8868,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.3029,0.7287,0.5541,-0.2644,-0.0902,-0.7689,-0.5048,0.3816,0.3884,0.7882,0.3078,-0.3647,0.4237,0.1697,0.8739,0.1667,0.1459,0.7869,0.3138,-0.5108,0.2792,0.6143,0.4735,-0.566,-176.121879048,-53.2041728074,163.851749749,-175.625434606,-25.2712551979,153.577544317,110.792608923,-46.1566721414,167.622000678,105.703678557,-42.6903809238,-160.396655885,159.649138336,-54.5009851847,138.097950362,36.9004133133,-43.1644708267,143.364517378,129.189382006,-63.5812778924,-168.201961555,71.4334546905,-73.7213120595,-136.486336134,-0.0055891387108,0.0869443918148,0.0622584525976,2.50496256947,17.823537267,1.75478205275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02558,0.04123,-1.05398,0.560073878848,24.1757950777,-2.03641311277,
1566578617.63,-0.1105,-0.8868,-0.0329,0.4474,0.2147,0.9511,0.0137,-0.2213,0.2966,0.7363,0.5468,-0.266,-0.0873,-0.7682,-0.5034,0.3855,0.3873,0.7919,0.3045,-0.3603,0.4231,0.1696,0.8739,0.1682,0.1453,0.7869,0.3134,-0.5112,0.2771,0.6137,0.4732,-0.568,-176.119190025,-53.2142877247,163.849973375,-175.625434606,-25.2712551979,153.577544317,111.907559818,-45.7397298743,167.933590627,105.493035561,-42.8693860037,-159.718369112,159.878617211,-53.7841280376,138.158774562,36.9073328777,-43.0469626667,143.216358811,129.166969352,-63.6008308462,-168.089976387,70.7055192505,-73.6285306693,-135.531119787,-0.0055891387108,0.0869443918148,0.0622584525976,2.50496256947,17.823537267,1.75478205275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02558,0.04123,-1.05398,0.560073878848,24.1757950777,-2.03641311277,
1566578617.65,-0.1105,-0.8868,-0.0329,0.4473,0.2147,0.9511,0.0137,-0.2213,0.2952,0.7399,0.5437,-0.2639,-0.083,-0.7661,-0.5018,0.3927,0.3871,0.7992,0.3013,-0.3471,0.4274,0.1665,0.8717,0.1719,0.1445,0.7871,0.314,-0.5108,0.2725,0.6112,0.4747,-0.5715,-176.121879048,-53.2041728074,163.851749749,-175.625434606,-25.2712551979,153.577544317,112.546470261,-45.3675208159,167.680885263,104.94178641,-43.2450975416,-158.498288683,159.759319661,-52.0182989644,138.267605202,37.0564608603,-43.4737085812,142.467216413,129.015970502,-63.4981019748,-167.928826385,68.82450501,-73.2416743581,-133.391831799,-0.0056278218432,0.0884073120512,0.0607359742744,-5.43195396233,17.6060791969,-1.9229949034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541,0.04098,-1.05352,0.252250353994,24.2149506727,-1.93817038305,
1566578617.67,-0.1105,-0.8868,-0.0329,0.4474,0.2147,0.9511,0.0137,-0.2213,0.3222,0.7152,0.5688,-0.2472,-0.0809,-0.7637,-0.5012,0.3986,0.3866,0.8062,0.2992,-0.333,0.4315,0.1631,0.8699,0.1743,0.1439,0.7872,0.3148,-0.5102,0.2695,0.6094,0.4761,-0.5736,-176.119190025,-53.2142877247,163.849973375,-175.625434606,-25.2712551979,153.577544317,109.420378806,-46.0672534225,164.991940935,104.377207947,-43.6307682724,-157.582214465,159.416592896,-50.2107027867,138.487407592,37.0894026904,-43.9425053146,141.92443335,128.855548516,-63.3856897885,-167.79797652,67.6090174503,-72.9444854778,-132.052366684,-0.005593233157,0.090073641099,0.0584681240862,-17.7989605373,13.7018468689,-7.72992550356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02511,0.04077,-1.05299,0.0799453965345,24.2351567429,-1.81111864288,
1566578617.69,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3388,0.6882,0.5949,-0.2398,-0.0849,-0.7592,-0.5061,0.4002,0.3848,0.8165,0.2959,-0.3124,0.4386,0.1561,0.867,0.1776,0.1433,0.7875,0.3158,-0.5093,0.2662,0.6072,0.4787,-0.5754,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,105.092081938,-47.1638318388,164.557072144,103.431790323,-43.9217919709,-157.451891014,158.912512504,-47.5572624963,138.909521029,36.9731920014,-44.8382935268,141.139939239,128.703456117,-63.2307733965,-167.693957843,66.3048463435,-72.5202095555,-130.717128718,-0.005593233157,0.090073641099,0.0584681240862,-17.7989605373,13.7018468689,-7.72992550356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02511,0.04077,-1.05299,0.0799453965345,24.2351567429,-1.81111864288,
1566578617.71,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3388,0.6882,0.5949,-0.2398,-0.0849,-0.7592,-0.5061,0.4002,0.3848,0.8165,0.2959,-0.3124,0.4386,0.1561,0.867,0.1776,0.1433,0.7875,0.3158,-0.5093,0.2662,0.6072,0.4787,-0.5754,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,105.092081938,-47.1638318388,164.557072144,103.431790323,-43.9217919709,-157.451891014,158.912512504,-47.5572624963,138.909521029,36.9731920014,-44.8382935268,141.139939239,128.703456117,-63.2307733965,-167.693957843,66.3048463435,-72.5202095555,-130.717128718,-0.0049475038828,0.0900739503104,0.0584554586296,-17.5672065573,13.7118369737,-7.79081928082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02511,0.04077,-1.05299,0.0799453965345,24.2351567429,-1.81111864288,
1566578617.73,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3634,0.6536,0.6287,-0.2124,-0.0854,-0.7578,-0.5071,0.4014,0.3836,0.8222,0.2953,-0.2994,0.4392,0.1564,0.8664,0.1784,0.1421,0.7882,0.315,-0.509,0.265,0.606,0.4804,-0.5758,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,100.09846628,-47.2954180572,162.136681039,103.12997908,-44.034804652,-157.275707121,158.400329021,-45.9624564206,139.226966844,37.1207076484,-44.8586312419,140.948551133,128.820186568,-63.1417292354,-167.64248674,65.7401151654,-72.3036600361,-130.222062753,-0.0049475038828,0.0900739503104,0.0584554586296,-17.5672065573,13.7118369737,-7.79081928082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02511,0.04077,-1.05299,0.0799453965345,24.2351567429,-1.81111864288,
1566578617.75,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3558,0.6563,0.6318,-0.2081,-0.0878,-0.7548,-0.5089,0.4041,0.3778,0.8316,0.2943,-0.281,0.432,0.1654,0.8692,0.1743,0.1422,0.7882,0.3156,-0.5087,0.2639,0.6038,0.483,-0.5764,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,99.5695217138,-46.2932200433,162.818755631,102.544918025,-44.3946442794,-157.031419126,157.487997639,-43.6162958694,140.241288656,37.4549593497,-43.901469109,141.761264927,128.741994026,-63.0999262749,-167.627609755,64.8001991208,-72.0325517725,-129.456270582,-0.0054495024936,0.090710797992,0.057131954394,-25.338438697,10.7522919611,-10.9161701699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02492,0.04063,-1.05248,-0.0263535614637,24.2448827441,-1.70504813352,
1566578617.77,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3467,0.6643,0.6286,-0.2081,-0.0866,-0.7553,-0.5068,0.4063,0.3759,0.8347,0.2948,-0.2736,0.43,0.1686,0.8701,0.1715,0.1421,0.7888,0.316,-0.5075,0.2633,0.6027,0.4846,-0.5765,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,100.099248246,-45.4302283532,163.525634715,102.651474297,-44.5556895647,-156.771645715,157.043739757,-42.7282324364,140.594874201,37.5682894134,-43.6765041142,142.176103349,128.812673105,-62.9497887174,-167.738513362,64.3672442892,-71.8654333648,-129.136544232,-0.005181165426,0.0909409611984,0.0562840325468,-30.6995375965,7.84352421787,-13.0397531602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02486,0.04064,-1.05205,0.130521766131,24.2595256998,-1.68315036639,
1566578617.79,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3467,0.6643,0.6286,-0.2081,-0.0866,-0.7553,-0.5068,0.4063,0.3759,0.8347,0.2948,-0.2736,0.43,0.1686,0.8701,0.1715,0.1421,0.7888,0.316,-0.5075,0.2633,0.6027,0.4846,-0.5765,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,100.099248246,-45.4302283532,163.525634715,102.651474297,-44.5556895647,-156.771645715,157.043739757,-42.7282324364,140.594874201,37.5682894134,-43.6765041142,142.176103349,128.812673105,-62.9497887174,-167.738513362,64.3672442892,-71.8654333648,-129.136544232,-0.005181165426,0.0909409611984,0.0562840325468,-30.6995375965,7.84352421787,-13.0397531602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02486,0.04064,-1.05205,0.130521766131,24.2595256998,-1.68315036639,
1566578617.81,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3439,0.6661,0.6275,-0.2102,-0.0867,-0.7538,-0.5078,0.4078,0.3724,0.8389,0.2958,-0.2644,0.4258,0.1768,0.8706,0.171,0.1413,0.7904,0.3158,-0.5054,0.2624,0.6012,0.4869,-0.5765,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,100.16927213,-45.3731114137,163.937969554,102.305396324,-44.6623123982,-156.511591636,156.393968223,-41.6078318749,141.204681485,38.2790571427,-42.9302989652,142.233613798,129.091117044,-62.6614871958,-167.952220102,63.812404062,-71.6180356548,-128.74471455,-0.0049321858606,0.0910786805856,0.0556808637274,-30.8416200156,7.79591127742,-13.0790419784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02486,0.04064,-1.05205,0.130521766131,24.2595256998,-1.68315036639,
1566578617.83,-0.1105,-0.8867,-0.033,0.4475,0.2147,0.9511,0.0137,-0.2213,0.3378,0.673,0.6223,-0.2133,-0.0881,-0.7525,-0.508,0.4096,0.3694,0.8416,0.2971,-0.2584,0.4218,0.1842,0.8706,0.1734,0.1416,0.7906,0.3166,-0.5045,0.2622,0.6008,0.4879,-0.5762,-176.131618047,-53.2310431217,163.853910765,-175.625434606,-25.2712551979,153.577544317,100.958510617,-45.046049246,164.46373923,102.080279325,-44.9152978505,-156.391453415,155.854916367,-40.8875466013,141.720977149,39.0263207823,-42.1175329277,141.931246558,129.063420006,-62.5614372385,-168.030477048,63.711066076,-71.5213988686,-128.729644773,-0.0049321858606,0.0910786805856,0.0556808637274,-30.8416200156,7.79591127742,-13.0790419784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02486,0.04064,-1.05205,0.130521766131,24.2595256998,-1.68315036639,
